"State: (0, 0)","State: (0, 1)","State: (0, 2)","State: (0, 3)","State: (0, 4)","State: (0, 5)","Wall: (1, 0)","State: (1, 1)","State: (1, 2)","State: (1, 3)","Wall: (1, 4)","State: (1, 5)","State: (2, 0)","State: (2, 1)","State: (2, 2)","State: (2, 3)","Wall: (2, 4)","State: (2, 5)","State: (3, 0)","State: (3, 1)","State: (3, 2)","State: (3, 3)","Wall: (3, 4)","State: (3, 5)","State: (4, 0)","Wall: (4, 1)","State: (4, 2)","State: (4, 3)","State: (4, 4)","State: (4, 5)","State: (5, 0)","State: (5, 1)","State: (5, 2)","State: (5, 3)","State: (5, 4)","State: (5, 5)",
10.466175832224483,9.880602862168201,9.442233980186934,9.030376563914594,8.653916284607673,8.240423806040296,0.0,8.376751105274792,9.05228322115764,8.792969820580291,0.0,7.877772397395873,9.776803697772854,8.900687380677647,7.565394334701496,8.424327233741119,0.0,7.521398975042863,8.98991664995828,10.042012321618568,9.574710848147785,8.215136591494952,0.0,6.804099706110902,8.717214167659273,0.0,10.059794393153476,9.645126874904092,7.5087883438385905,7.9451373887856604,9.967484887507265,8.38324919805531,9.003882792216759,9.98293417918213,9.465636076764758,9.060115346585297,
11.361514328114062,10.765797656649239,10.317469202005958,9.89594714471864,9.511065798191641,9.08846576116195,0.0,9.251986393907647,9.917886518426219,9.649965154808756,0.0,8.717864033286208,10.601134078617958,9.711760311786577,8.378643888838136,9.266266772960085,0.0,8.353785518250337,9.82579047804704,10.873923632264352,9.817174364262021,8.42413950075803,0.0,7.599760742057954,9.580256673021994,0.0,10.830642059056231,10.36016906114087,8.885722156601927,8.801866667311428,10.82947468655679,9.236827544120658,9.830102073237743,10.816762187609243,10.343660373339052,9.920515480328,
12.247899460791526,11.642097281457408,11.183841539499484,10.752648082620235,10.359288565509827,9.927383438970345,0.0,10.118358738015742,10.774666830896859,10.498136107459256,0.0,9.548624998398829,11.418363976981844,10.532051555740807,9.493569902063408,10.131747878385175,0.0,9.176560758360774,10.651011224293594,11.638498151027783,11.189787796173167,9.147032947769445,0.0,8.435831236280228,10.433835030872928,0.0,11.658837869350643,10.560787356132098,9.267852708434686,9.60595071616873,11.682011875853505,10.081045531276837,10.654280970172838,11.645672106777615,11.12491237848012,10.70405102170057,
13.12542076367153,12.509618699545053,12.041510636013607,11.600704345030486,11.198897253866903,10.757651726168326,0.0,10.976027835184706,11.622818941076934,11.33773267110726,0.0,10.370688173120618,12.228212690171494,11.328147292048122,9.9868418259958,10.931224926315341,0.0,9.99054431025276,11.421233542084064,12.456181929170125,11.968218673248561,10.6065386899327,0.0,9.238207780516914,11.278053020362654,0.0,12.473427338716187,11.335759313225426,9.884160163700816,10.367129642518968,12.52520011316334,10.91600579716826,11.473015714504983,12.460567470949647,11.908667912713526,11.477712156099168,
13.994166874836754,13.368459501669317,12.890588871590234,12.4402519579846,12.03006150401324,11.57951464717806,0.0,11.825106070826163,12.46246772938342,12.168899690802458,0.0,11.184372135118355,13.026039922658807,12.103571679846853,10.759274341727712,11.745128272684981,0.0,10.796150771194519,12.23140159122538,13.261058794901352,12.201846904500204,10.948870912525694,0.0,9.999932064633489,12.11301328671612,0.0,13.222766151420945,12.74996550657553,10.720257694177018,11.137999649101179,13.359141919435519,11.7418098606428,12.273652144718886,13.262819423536818,12.70441693209191,12.260853981617734,
14.854225545991207,14.218709974822694,13.731171242315181,13.271393964622474,12.852896514987039,12.393119137248211,0.0,12.66568844155753,13.293712177043755,12.991742915515683,0.0,11.989856335491405,13.81711064307831,12.895820997322204,11.968074340111142,12.597067758690091,0.0,11.593604356721356,13.029841156164137,14.000696002529766,13.542444776794207,11.52261324168322,0.0,10.761282536780836,12.938817350282141,0.0,14.028224706792706,12.914253059853916,11.443071533684584,11.906122694520082,14.183938691352823,12.558558128607558,13.068039114230585,14.05562645233689,13.48265784102482,13.030796022605346,
15.705683651323989,15.060457266442473,14.56334597271496,14.094220909190287,13.667496807243156,13.19857236883011,0.0,13.497863171957944,14.116641361266566,13.806353344083902,0.0,12.78726118614185,14.601000191133153,13.678889950073293,12.326936403354772,13.362108590261437,0.0,12.38304482773914,13.77499351043805,14.792977962839727,14.285199848825547,12.915238425030978,0.0,11.52038340086174,13.755565618265013,0.0,14.818324964144407,13.691934741332467,12.212473020398972,12.668131738358774,14.9996907136753,13.366349907162533,13.852806535753388,14.838267463063161,14.255726137655747,13.794729289677365,
16.548627196284414,15.89378685467623,15.387198314356318,14.908818283696235,14.473948805504259,13.995965321157335,0.0,14.321715513599365,14.931340250085292,14.612816106899867,0.0,13.576682584181652,15.373215880468857,14.418353978286321,13.064144419609079,14.149549753665688,0.0,13.164575807422452,14.55978827403242,15.57169272823733,14.51631991379817,13.253232686425124,0.0,12.27419655316423,14.563357396823577,0.0,15.54465724695001,15.052427425558973,13.034870802586024,13.430023180348787,15.806497171436302,14.165283413464357,14.622257105854985,15.610828530319083,15.02554566361235,14.555483019096645,
17.383141326269406,16.71878307692264,16.20281191420148,15.715269228154128,15.272335468758413,14.7853821985087,0.0,15.137329113444533,15.737891800854236,15.411213691543496,0.0,14.358206207029898,16.13895476004963,15.183887833950683,14.368421004503023,14.98896071837927,0.0,13.938285669677937,15.33230992233634,16.28779536961564,15.821329069669074,13.799904498000362,0.0,13.026869597842474,15.362290903126109,0.0,16.325283946955402,15.230431891759743,13.737617579295891,14.177539336039882,16.60445616200262,14.955455787626915,15.387583139638958,16.37467632474051,15.776297199177217,15.299396972141306,
18.209310335223968,17.535529324439963,17.010269311956343,16.513655511144826,16.06273798360329,15.566904118959645,0.0,15.944786511199396,16.53637772272378,16.201627114209124,0.0,15.13191326433331,16.89770776355361,15.95528107409924,14.593972943219471,15.720399494515311,0.0,14.704256230581324,16.053674196476926,17.05555964999491,16.529010082325332,15.155108688796119,0.0,13.767931674177502,16.15246327728881,0.0,17.089368009703474,15.980615616453033,14.480485101847009,14.914267189072286,17.393664707001943,15.73696310452425,16.14396221093458,17.128849726504534,16.52147083841007,16.036158051291228,
